LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message
1765,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_horn_color_value! at 'file: common/dna_data/test_dna_crownlands.txt line: 1986 (Branfield_asoiaf_1)'
1766,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_primary_color_saturation! at 'file: common/dna_data/test_dna_crownlands.txt line: 1986 (Branfield_asoiaf_1)'
1767,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_secondary_saturation! at 'file: common/dna_data/test_dna_crownlands.txt line: 1986 (Branfield_asoiaf_1)'
1768,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_tertiary_saturation! at 'file: common/dna_data/test_dna_crownlands.txt line: 1986 (Branfield_asoiaf_1)'
1769,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_eye_color_saturation! at 'file: common/dna_data/test_dna_crownlands.txt line: 1986 (Branfield_asoiaf_1)'
1770,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_horn_color_saturation! at 'file: common/dna_data/test_dna_crownlands.txt line: 1986 (Branfield_asoiaf_1)'
1771,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_fire_color! at 'file: common/dna_data/test_dna_crownlands.txt line: 1986 (Branfield_asoiaf_1)'
1772,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_fire_smoke! at 'file: common/dna_data/test_dna_crownlands.txt line: 1986 (Branfield_asoiaf_1)'
1773,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_metallic_scales_strength! at 'file: common/dna_data/test_dna_crownlands.txt line: 1986 (Branfield_asoiaf_1)'
1774,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_scale_shadows! at 'file: common/dna_data/test_dna_crownlands.txt line: 1986 (Branfield_asoiaf_1)'
1775,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_scale_highlights! at 'file: common/dna_data/test_dna_crownlands.txt line: 1986 (Branfield_asoiaf_1)'
1776,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_wounded! at 'file: common/dna_data/test_dna_crownlands.txt line: 1986 (Branfield_asoiaf_1)'
1777,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_body_shading! at 'file: common/dna_data/test_dna_crownlands.txt line: 1986 (Branfield_asoiaf_1)'
1778,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_body_pattern! at 'file: common/dna_data/test_dna_crownlands.txt line: 1986 (Branfield_asoiaf_1)'
1779,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_wings_shading! at 'file: common/dna_data/test_dna_crownlands.txt line: 1986 (Branfield_asoiaf_1)'
1780,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_bs_head_shape! at 'file: common/dna_data/test_dna_crownlands.txt line: 1986 (Branfield_asoiaf_1)'
1781,dna_unknown_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:184,AGOT+,common/dna_data/test_dna_crownlands.txt,No gene with key: gene_dragon_skin_hue in group human at file: common/dna_data/test_dna_crownlands.txt line: 2171 (Branfield_asoiaf_2)
1782,dna_unknown_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:184,AGOT+,common/dna_data/test_dna_crownlands.txt,No gene with key: gene_dragon_skin_value in group human at file: common/dna_data/test_dna_crownlands.txt line: 2172 (Branfield_asoiaf_2)
1783,dna_unknown_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:184,AGOT+,common/dna_data/test_dna_crownlands.txt,No gene with key: gene_dragon_highlight_hue in group human at file: common/dna_data/test_dna_crownlands.txt line: 2173 (Branfield_asoiaf_2)
1784,dna_unknown_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:184,AGOT+,common/dna_data/test_dna_crownlands.txt,No gene with key: gene_dragon_highlight_value in group human at file: common/dna_data/test_dna_crownlands.txt line: 2174 (Branfield_asoiaf_2)
1785,dna_unknown_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:184,AGOT+,common/dna_data/test_dna_crownlands.txt,No gene with key: gene_dragon_eye_hue in group human at file: common/dna_data/test_dna_crownlands.txt line: 2175 (Branfield_asoiaf_2)
1786,dna_unknown_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:184,AGOT+,common/dna_data/test_dna_crownlands.txt,No gene with key: gene_dragon_eye_value in group human at file: common/dna_data/test_dna_crownlands.txt line: 2176 (Branfield_asoiaf_2)
1787,dna_unknown_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:184,AGOT+,common/dna_data/test_dna_crownlands.txt,No gene with key: gene_dragon_horn_hue in group human at file: common/dna_data/test_dna_crownlands.txt line: 2177 (Branfield_asoiaf_2)
1788,dna_unknown_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:184,AGOT+,common/dna_data/test_dna_crownlands.txt,No gene with key: gene_dragon_horn_value in group human at file: common/dna_data/test_dna_crownlands.txt line: 2178 (Branfield_asoiaf_2)
