Symbol,Mod,File,Line,SourceText
color,AGOT More Dragon Eggs,localization/replace/english/more_dragon_eggs_events_l_english.yml,55," mde_dragon_eggs_events.0009.desc:0 ""The sombering nature of the ruins of Spicetown have weighed heavy on my mind, and as such I’ve chosen to pause among the ruins and explore them.\n\nWandering inside the various dilapidated structures, you find a large, burned out area of a large building that has been hitherto untouched since it was first destroyed. While kicking around the scattered stones on the floor, a glitter of color flashes in the corner of my eye, jarring in its contrast to the black and grays of the destruction around me.\n\nI pry the colorful stones away from the ground and stare in shock at what I have in my hands. A dragon egg! The rumors of a grieving [moondancer.GetName] were true, I’ve found her egg!"""
color,AGOT More Dragon Eggs,localization/replace/english/mde_customizer_l_english.yml,7," DRAGON_DESIGNER_RANDOMIZE_BY_EGG_COLOR_TOOLTIP:0 ""#T Randomize Dragon Appearance by Egg Color #!\nThis will randomize the appearance of this dragon as if it were another dragon hatched from the same type of egg. It will be grayed out if the dragon doesn't have a saved egg color"""
color,AGOT More Dragon Eggs,gui/hud.gui,960,			color = { 0.4 0.25 0.25 0.7 }
color,AGOT More Dragon Eggs,gui/hud.gui,977,			color = { 0.3 0.3 0.3 0.7 }
color,AGOT More Dragon Eggs,gui/hud.gui,1396,							color = { 0.32 0.32 0.32 1 }
color,AGOT More Dragon Eggs,gui/hud.gui,3217,						color = { 0.1 0.1 0.1 0.8 }
color,AGOT More Dragon Eggs,gui/hud.gui,3224,						color = { 1 0.1 0.1 0.2 }
color,AGOT More Dragon Eggs,gui/hud.gui,4006,						color = { 0 0 0 0.8 }
color,AGOT More Dragon Eggs,gui/hud.gui,4035,						color = { 0 0 0 0.8 }
color,AGOT More Dragon Eggs,gui/hud.gui,4161,			color = { 0.12 0.12 0.12 1 }
color,AGOT More Dragon Eggs,gui/hud.gui,4167,			color = { 0.15 0.15 0.15 0.3 }
color,AGOT More Dragon Eggs,gui/hud.gui,4178,			color = { 0.63 0.59 0.68 1 }
color,AGOT Bookmarked,common/landed_titles/agotbm_laamp_titles.txt,7,	color = { 78 10 105 }
color,AGOT Bookmarked,common/landed_titles/agotbm_laamp_titles.txt,19,	color = { 78 10 105 }
color,AGOT Bookmarked,common/landed_titles/agotbm_laamp_titles.txt,31,	color = { 78 10 105 }
color,AGOT Bookmarked,common/landed_titles/agotbm_laamp_titles.txt,43,	color = { 78 10 105 }
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,313,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,319,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,413,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,419,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,487,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,493,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,545,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,551,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,591,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,597,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,628,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,634,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,686,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,692,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,746,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,752,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,804,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,810,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,862,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,868,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,920,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,926,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1000,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1006,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1046,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1074,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1080,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1114,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1120,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1160,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1166,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1215,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1221,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1294,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1300,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1373,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1379,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1452,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1458,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1498,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1504,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1544,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1550,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1596,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1602,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1648,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1654,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1700,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1706,			color = {
is_jon_snow,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1737,						has_character_flag = is_jon_snow
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1756,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1762,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1805,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1811,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1854,			color = {
color,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,1860,			color = {
