BeforeCount,AfterCount,Difference,Component,Message,Signature
2,0,-2,jomini_effect.cpp:1145,Variable 'color_grading' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,jomini_effect.cpp:1145 Variable 'color_grading' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
2,0,-2,jomini_effect.cpp:1145,Variable 'dark_sister_artifact' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count,jomini_effect.cpp:1145 Variable 'dark_sister_artifact' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
2,0,-2,jomini_effect.cpp:1161,Event target 'asoiaf_targaryen_invasion_claimant' is used but is never set. Setting it in an unused scripted trigger or effect does not count,jomini_effect.cpp:1161 Event target 'asoiaf_targaryen_invasion_claimant' is used but is never set. Setting it in an unused scripted trigger or effect does not count
2,0,-2,jomini_effect.cpp:1161,Flag 'dany' is used but is never set. Setting it in an unused scripted trigger or effect does not count,jomini_effect.cpp:1161 Flag 'dany' is used but is never set. Setting it in an unused scripted trigger or effect does not count
2,0,-2,jomini_effect.cpp:1161,Flag 'faegon' is used but is never set. Setting it in an unused scripted trigger or effect does not count,jomini_effect.cpp:1161 Flag 'faegon' is used but is never set. Setting it in an unused scripted trigger or effect does not count
2,0,-2,jomini_effect.cpp:1161,Flag 'viserys' is used but is never set. Setting it in an unused scripted trigger or effect does not count,jomini_effect.cpp:1161 Flag 'viserys' is used but is never set. Setting it in an unused scripted trigger or effect does not count
2,0,-2,jomini_effect.cpp:1161,Variable 'asoiaf_Stark_100_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count,jomini_effect.cpp:1161 Variable 'asoiaf_Stark_100_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
2,0,-2,jomini_effect.cpp:1161,Variable 'asoiaf_Stark_101_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count,jomini_effect.cpp:1161 Variable 'asoiaf_Stark_101_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
2,0,-2,jomini_effect.cpp:1161,Variable 'asoiaf_Stark_102_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count,jomini_effect.cpp:1161 Variable 'asoiaf_Stark_102_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
2,0,-2,jomini_effect.cpp:1161,Variable 'asoiaf_Stark_103_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count,jomini_effect.cpp:1161 Variable 'asoiaf_Stark_103_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
