"LogLine","Key","Category","FirstFile","SecondFile","RepositoryDefinitions","DistinctValues","Mods"
"86","dragon_egg_seasmoke_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"87","dragon_egg_sunfyre_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"88","dragon_egg_syrax_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"89","dragon_egg_tessarion_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"90","dragon_egg_vermax_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"91","dragon_egg_arrax_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"92","dragon_egg_tyraxes_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"93","dragon_egg_stormcloud_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"94","dragon_egg_moondancer_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
"95","dragon_egg_wyrmling_ui_desc","Localization duplicate needs review","localization/russian/dp_artifacts_l_russian.yml","localization/russian/mde_artifacts_l_russian.yml","2","2","AGOT More Dragon Eggs - Русификация | AGOT More Dragon Eggs | Исправления русификатора и совместимости"
